token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
6216,CAMLINFINE-EQ,CAMLINFINE,,-1.000000,1,,NSE,1.000000
9362,CAMPUS-EQ,CAMPUS,,-1.000000,1,,NSE,5.000000
342,CAMS-EQ,CAMS,,-1.000000,1,,NSE,5.000000
10794,CANBK-EQ,CANBK,,-1.000000,1,,NSE,1.000000
583,CANFINHOME-EQ,CANFINHOME,,-1.000000,1,,NSE,5.000000
20160,CANTABIL-EQ,CANTABIL,,-1.000000,1,,NSE,5.000000
21749,CAPACITE-EQ,CAPACITE,,-1.000000,1,,NSE,5.000000
22675,CAPITALSFB-EQ,CAPITALSFB,,-1.000000,1,,NSE,5.000000
3906,CAPLIPOINT-EQ,CAPLIPOINT,,-1.000000,1,,NSE,5.000000
19447,CAPTRUST-EQ,CAPTRUST,,-1.000000,1,,NSE,1.000000
595,CARBORUNIV-EQ,CARBORUNIV,,-1.000000,1,,NSE,5.000000
20086,CAREERP-EQ,CAREERP,,-1.000000,1,,NSE,5.000000
29113,CARERATING-EQ,CARERATING,,-1.000000,1,,NSE,5.000000
5407,CARTRADE-EQ,CARTRADE,,-1.000000,1,,NSE,5.000000
1879,CARYSIL-EQ,CARYSIL,,-1.000000,1,,NSE,5.000000
1250,CASTROLIND-EQ,CASTROLIND,,-1.000000,1,,NSE,5.000000
11452,CCL-EQ,CCL,,-1.000000,1,,NSE,5.000000
21174,CDSL-EQ,CDSL,,-1.000000,1,,NSE,5.000000
15254,CEATLTD-EQ,CEATLTD,,-1.000000,1,,NSE,5.000000
